damage taken,direction,encounter,month of departure
17%,southbound,pirates,12/1396
100%+,southbound,unknown,12/1396
85%,southbound,water elemental,1/1397
82%,northbound,water elemental,1/1397
18%,southbound,sharks,1/1397
26%,southbound,sharks,1/1397
81%,northbound,water elemental,1/1397
21%,southbound,pirates,1/1397
24%,southbound,pirates,1/1397
100%+,southbound,unknown,1/1397
51%,northbound,kraken,1/1397
56%,southbound,merpeople,1/1397
27%,northbound,sharks,1/1397
61%,northbound,kraken,1/1397
47%,southbound,pirates,1/1397
8%,southbound,harpy,1/1397
83%,northbound,water elemental,1/1397
48%,northbound,pirates,1/1397
21%,northbound,pirates,1/1397
35%,northbound,sharks,1/1397
11%,northbound,harpy,1/1397
74%,northbound,water elemental,1/1397
87%,southbound,nessie,1/1397
14%,southbound,sharks,1/1397
33%,northbound,merpeople,1/1397
44%,northbound,pirates,1/1397
18%,southbound,pirates,1/1397
18%,northbound,pirates,1/1397
8%,southbound,harpy,1/1397
26%,southbound,sharks,1/1397
48%,northbound,merpeople,1/1397
85%,southbound,nessie,1/1397
46%,southbound,kraken,1/1397
89%,southbound,nessie,1/1397
12%,northbound,pirates,1/1397
81%,northbound,nessie,1/1397
17%,southbound,sharks,1/1397
100%+,southbound,unknown,1/1397
45%,southbound,pirates,1/1397
22%,northbound,pirates,1/1397
77%,northbound,water elemental,1/1397
47%,southbound,kraken,1/1397
100%+,northbound,unknown,1/1397
39%,southbound,pirates,1/1397
42%,northbound,pirates,1/1397
24%,northbound,pirates,1/1397
100%+,southbound,unknown,1/1397
21%,northbound,pirates,1/1397
19%,northbound,pirates,1/1397
100%+,northbound,unknown,1/1397
59%,northbound,kraken,1/1397
35%,southbound,pirates,1/1397
37%,southbound,pirates,1/1397
64%,northbound,kraken,1/1397
41%,northbound,pirates,1/1397
99%,southbound,demon whale,1/1397
58%,southbound,kraken,1/1397
100%+,southbound,unknown,1/1397
24%,northbound,sharks,1/1397
15%,southbound,pirates,1/1397
14%,northbound,pirates,1/1397
41%,southbound,merpeople,1/1397
78%,southbound,nessie,1/1397
54%,northbound,kraken,1/1397
61%,northbound,kraken,1/1397
87%,southbound,nessie,1/1397
13%,northbound,harpy,1/1397
100%+,southbound,unknown,1/1397
43%,southbound,merpeople,1/1397
33%,southbound,crabmonsters,1/1397
21%,northbound,pirates,1/1397
57%,southbound,kraken,1/1397
18%,southbound,harpy,1/1397
30%,southbound,pirates,1/1397
76%,northbound,water elemental,1/1397
13%,southbound,pirates,1/1397
23%,northbound,harpy,1/1397
100%+,southbound,unknown,1/1397
78%,northbound,nessie,1/1397
35%,southbound,pirates,1/1397
38%,southbound,pirates,1/1397
29%,northbound,sharks,1/1397
100%+,northbound,unknown,1/1397
68%,northbound,merpeople,1/1397
61%,northbound,merpeople,1/1397
22%,southbound,pirates,1/1397
10%,southbound,sharks,1/1397
49%,northbound,pirates,1/1397
13%,southbound,harpy,1/1397
60%,southbound,kraken,1/1397
61%,northbound,merpeople,1/1397
38%,northbound,pirates,1/1397
100%+,northbound,unknown,1/1397
27%,southbound,sharks,1/1397
21%,southbound,pirates,1/1397
34%,northbound,sharks,1/1397
20%,northbound,harpy,1/1397
41%,southbound,pirates,1/1397
100%+,northbound,unknown,1/1397
47%,northbound,merpeople,1/1397
19%,southbound,harpy,1/1397
14%,southbound,pirates,1/1397
33%,southbound,pirates,1/1397
15%,southbound,pirates,1/1397
45%,southbound,merpeople,1/1397
40%,northbound,merpeople,1/1397
100%+,southbound,unknown,1/1397
100%+,northbound,unknown,1/1397
17%,northbound,pirates,1/1397
60%,northbound,merpeople,1/1397
91%,southbound,crabmonsters,1/1397
12%,northbound,sharks,1/1397
39%,southbound,merpeople,1/1397
100%+,northbound,unknown,1/1397
29%,northbound,pirates,1/1397
10%,southbound,pirates,1/1397
52%,southbound,kraken,1/1397
53%,southbound,kraken,1/1397
100%+,southbound,unknown,1/1397
49%,northbound,pirates,1/1397
80%,northbound,water elemental,1/1397
18%,southbound,harpy,1/1397
29%,southbound,sharks,1/1397
74%,northbound,water elemental,1/1397
46%,northbound,merpeople,1/1397
43%,northbound,sharks,1/1397
20%,northbound,harpy,1/1397
14%,southbound,pirates,1/1397
100%+,northbound,unknown,1/1397
76%,southbound,merpeople,1/1397
100%+,northbound,unknown,1/1397
27%,southbound,sharks,1/1397
100%+,southbound,unknown,1/1397
16%,northbound,sharks,1/1397
24%,northbound,pirates,1/1397
82%,southbound,water elemental,1/1397
51%,southbound,pirates,1/1397
23%,southbound,pirates,1/1397
28%,northbound,sharks,1/1397
62%,southbound,merpeople,1/1397
76%,southbound,water elemental,1/1397
44%,northbound,crabmonsters,1/1397
89%,northbound,demon whale,1/1397
29%,southbound,sharks,1/1397
28%,southbound,crabmonsters,1/1397
45%,northbound,kraken,1/1397
85%,southbound,nessie,1/1397
15%,southbound,pirates,1/1397
77%,northbound,water elemental,1/1397
100%+,northbound,unknown,1/1397
42%,southbound,pirates,1/1397
81%,northbound,water elemental,1/1397
49%,southbound,merpeople,1/1397
58%,southbound,merpeople,1/1397
34%,southbound,sharks,1/1397
19%,southbound,pirates,1/1397
2%,southbound,crabmonsters,1/1397
90%,southbound,nessie,1/1397
17%,northbound,pirates,1/1397
40%,southbound,sharks,1/1397
100%+,southbound,unknown,1/1397
44%,northbound,merpeople,1/1397
18%,southbound,sharks,1/1397
68%,southbound,merpeople,1/1397
86%,southbound,nessie,1/1397
78%,northbound,water elemental,1/1397
69%,southbound,merpeople,1/1397
54%,northbound,merpeople,1/1397
90%,northbound,demon whale,1/1397
82%,southbound,water elemental,1/1397
29%,northbound,sharks,1/1397
68%,northbound,crabmonsters,1/1397
29%,northbound,sharks,1/1397
16%,southbound,pirates,1/1397
49%,southbound,pirates,1/1397
100%+,northbound,unknown,1/1397
28%,northbound,pirates,1/1397
68%,southbound,crabmonsters,1/1397
33%,northbound,sharks,1/1397
23%,southbound,pirates,1/1397
15%,southbound,harpy,1/1397
43%,northbound,pirates,1/1397
78%,southbound,nessie,1/1397
34%,southbound,pirates,2/1397
16%,northbound,sharks,2/1397
48%,southbound,pirates,2/1397
7%,northbound,crabmonsters,2/1397
76%,northbound,water elemental,2/1397
100%+,northbound,unknown,2/1397
26%,northbound,merpeople,2/1397
67%,northbound,merpeople,2/1397
43%,northbound,merpeople,2/1397
56%,southbound,kraken,2/1397
40%,northbound,pirates,2/1397
38%,northbound,crabmonsters,2/1397
17%,southbound,pirates,2/1397
16%,northbound,sharks,2/1397
76%,southbound,water elemental,2/1397
7%,southbound,pirates,2/1397
37%,southbound,pirates,2/1397
51%,northbound,pirates,2/1397
46%,southbound,pirates,2/1397
21%,northbound,pirates,2/1397
41%,southbound,kraken,2/1397
16%,southbound,pirates,2/1397
42%,southbound,pirates,2/1397
73%,northbound,kraken,2/1397
36%,southbound,sharks,2/1397
42%,northbound,sharks,2/1397
38%,northbound,kraken,2/1397
34%,northbound,pirates,2/1397
80%,northbound,water elemental,2/1397
26%,northbound,sharks,2/1397
25%,northbound,sharks,2/1397
75%,southbound,nessie,2/1397
27%,southbound,pirates,2/1397
100%+,southbound,unknown,2/1397
22%,northbound,pirates,2/1397
100%+,southbound,unknown,2/1397
19%,southbound,pirates,2/1397
33%,southbound,merpeople,2/1397
16%,southbound,pirates,2/1397
20%,southbound,pirates,2/1397
34%,northbound,merpeople,2/1397
35%,northbound,pirates,2/1397
56%,northbound,kraken,2/1397
19%,southbound,pirates,2/1397
77%,northbound,nessie,2/1397
93%,northbound,nessie,2/1397
64%,northbound,crabmonsters,2/1397
76%,northbound,water elemental,2/1397
25%,northbound,pirates,2/1397
19%,southbound,pirates,2/1397
26%,northbound,pirates,2/1397
25%,southbound,sharks,2/1397
41%,northbound,pirates,2/1397
84%,northbound,water elemental,2/1397
32%,northbound,pirates,2/1397
10%,northbound,pirates,2/1397
83%,southbound,nessie,2/1397
22%,northbound,pirates,2/1397
74%,northbound,water elemental,2/1397
31%,northbound,sharks,2/1397
36%,southbound,kraken,2/1397
42%,southbound,merpeople,2/1397
6%,southbound,harpy,2/1397
21%,northbound,pirates,2/1397
82%,southbound,water elemental,2/1397
40%,southbound,sharks,2/1397
100%+,southbound,unknown,2/1397
13%,southbound,sharks,2/1397
32%,southbound,sharks,2/1397
14%,southbound,sharks,2/1397
40%,northbound,pirates,2/1397
30%,northbound,pirates,2/1397
85%,northbound,water elemental,2/1397
31%,southbound,sharks,2/1397
100%+,northbound,unknown,2/1397
18%,northbound,pirates,2/1397
48%,southbound,pirates,2/1397
60%,southbound,merpeople,2/1397
99%,southbound,demon whale,2/1397
92%,northbound,nessie,2/1397
45%,southbound,pirates,2/1397
36%,southbound,merpeople,2/1397
100%+,northbound,unknown,2/1397
85%,northbound,water elemental,2/1397
29%,northbound,sharks,2/1397
27%,northbound,sharks,2/1397
53%,southbound,merpeople,2/1397
53%,northbound,pirates,2/1397
17%,southbound,harpy,2/1397
49%,southbound,pirates,2/1397
31%,northbound,pirates,2/1397
38%,southbound,pirates,2/1397
43%,southbound,merpeople,2/1397
16%,northbound,pirates,2/1397
56%,southbound,merpeople,2/1397
33%,northbound,pirates,2/1397
75%,southbound,water elemental,2/1397
100%+,southbound,unknown,2/1397
21%,northbound,pirates,2/1397
84%,southbound,water elemental,2/1397
53%,northbound,pirates,2/1397
25%,southbound,sharks,2/1397
27%,southbound,pirates,2/1397
40%,northbound,pirates,2/1397
28%,southbound,pirates,2/1397
11%,southbound,pirates,2/1397
49%,northbound,merpeople,2/1397
100%+,northbound,unknown,2/1397
100%+,southbound,unknown,2/1397
79%,northbound,water elemental,2/1397
78%,northbound,water elemental,2/1397
36%,northbound,sharks,2/1397
43%,southbound,merpeople,2/1397
66%,southbound,merpeople,2/1397
63%,southbound,kraken,2/1397
81%,northbound,water elemental,2/1397
41%,northbound,pirates,2/1397
36%,southbound,pirates,2/1397
68%,southbound,merpeople,2/1397
34%,southbound,pirates,2/1397
80%,southbound,nessie,2/1397
15%,southbound,pirates,2/1397
60%,southbound,merpeople,2/1397
71%,northbound,nessie,2/1397
83%,northbound,water elemental,2/1397
23%,northbound,sharks,2/1397
100%+,northbound,unknown,2/1397
17%,southbound,sharks,2/1397
25%,southbound,merpeople,2/1397
76%,northbound,water elemental,2/1397
51%,northbound,kraken,2/1397
17%,southbound,pirates,2/1397
90%,southbound,merpeople,2/1397
46%,southbound,pirates,2/1397
100%+,southbound,unknown,2/1397
16%,southbound,pirates,2/1397
95%,southbound,demon whale,2/1397
89%,northbound,nessie,2/1397
52%,northbound,pirates,2/1397
79%,southbound,water elemental,2/1397
100%+,southbound,unknown,2/1397
87%,southbound,nessie,2/1397
38%,northbound,merpeople,2/1397
18%,northbound,pirates,2/1397
78%,southbound,water elemental,2/1397
23%,northbound,sharks,2/1397
79%,northbound,nessie,2/1397
17%,northbound,sharks,2/1397
11%,northbound,sharks,2/1397
83%,northbound,water elemental,2/1397
50%,northbound,merpeople,2/1397
66%,northbound,kraken,2/1397
39%,northbound,sharks,2/1397
92%,southbound,merpeople,2/1397
74%,southbound,merpeople,2/1397
38%,northbound,merpeople,2/1397
100%+,northbound,unknown,2/1397
22%,southbound,harpy,2/1397
50%,northbound,merpeople,2/1397
11%,southbound,sharks,2/1397
83%,southbound,nessie,2/1397
45%,northbound,sharks,2/1397
10%,southbound,harpy,2/1397
79%,northbound,nessie,2/1397
25%,southbound,pirates,2/1397
15%,northbound,harpy,2/1397
16%,northbound,pirates,2/1397
94%,southbound,demon whale,2/1397
77%,southbound,nessie,2/1397
80%,northbound,water elemental,2/1397
61%,northbound,kraken,2/1397
19%,southbound,pirates,2/1397
25%,northbound,pirates,2/1397
52%,northbound,merpeople,2/1397
20%,northbound,sharks,2/1397
99%,southbound,nessie,2/1397
100%+,northbound,unknown,2/1397
77%,northbound,nessie,2/1397
100%+,northbound,unknown,2/1397
29%,southbound,pirates,2/1397
100%+,southbound,unknown,2/1397
10%,northbound,harpy,2/1397
26%,southbound,pirates,2/1397
16%,northbound,pirates,2/1397
100%+,southbound,unknown,2/1397
31%,southbound,sharks,2/1397
20%,southbound,pirates,2/1397
46%,southbound,pirates,2/1397
22%,northbound,pirates,2/1397
100%+,northbound,unknown,3/1397
77%,southbound,water elemental,3/1397
36%,southbound,pirates,3/1397
79%,southbound,crabmonsters,3/1397
48%,northbound,pirates,3/1397
14%,northbound,pirates,3/1397
100%+,northbound,unknown,3/1397
34%,northbound,sharks,3/1397
47%,southbound,merpeople,3/1397
18%,southbound,sharks,3/1397
54%,southbound,kraken,3/1397
18%,southbound,pirates,3/1397
54%,southbound,kraken,3/1397
79%,northbound,water elemental,3/1397
93%,northbound,nessie,3/1397
77%,northbound,water elemental,3/1397
74%,southbound,water elemental,3/1397
14%,northbound,sharks,3/1397
100%+,northbound,unknown,3/1397
84%,southbound,water elemental,3/1397
61%,southbound,kraken,3/1397
83%,southbound,water elemental,3/1397
42%,southbound,pirates,3/1397
44%,southbound,merpeople,3/1397
75%,northbound,water elemental,3/1397
44%,northbound,kraken,3/1397
50%,northbound,kraken,3/1397
78%,northbound,water elemental,3/1397
16%,southbound,pirates,3/1397
39%,southbound,sharks,3/1397
37%,southbound,pirates,3/1397
77%,northbound,water elemental,3/1397
100%+,northbound,unknown,3/1397
87%,northbound,nessie,3/1397
55%,southbound,merpeople,3/1397
62%,southbound,kraken,3/1397
24%,southbound,pirates,3/1397
14%,northbound,pirates,3/1397
9%,southbound,pirates,3/1397
12%,northbound,harpy,3/1397
43%,southbound,pirates,3/1397
30%,northbound,pirates,3/1397
100%+,southbound,unknown,3/1397
21%,northbound,pirates,3/1397
26%,southbound,sharks,3/1397
22%,southbound,pirates,3/1397
59%,northbound,kraken,3/1397
13%,northbound,harpy,3/1397
100%+,southbound,unknown,3/1397
23%,southbound,pirates,3/1397
77%,southbound,water elemental,3/1397
26%,northbound,pirates,3/1397
18%,northbound,pirates,3/1397
16%,northbound,pirates,3/1397
100%+,southbound,unknown,3/1397
49%,southbound,pirates,3/1397
100%+,southbound,unknown,3/1397
37%,northbound,sharks,3/1397
42%,southbound,pirates,3/1397
100%+,northbound,unknown,3/1397
63%,southbound,merpeople,3/1397
30%,southbound,pirates,3/1397
13%,southbound,harpy,3/1397
38%,southbound,pirates,3/1397
83%,northbound,water elemental,3/1397
7%,southbound,harpy,3/1397
66%,northbound,merpeople,3/1397
53%,northbound,crabmonsters,3/1397
61%,southbound,kraken,3/1397
11%,southbound,harpy,3/1397
13%,southbound,pirates,3/1397
24%,southbound,pirates,3/1397
17%,northbound,sharks,3/1397
34%,northbound,sharks,3/1397
39%,southbound,pirates,3/1397
85%,northbound,water elemental,3/1397
26%,southbound,sharks,3/1397
100%+,southbound,unknown,3/1397
88%,southbound,nessie,3/1397
32%,northbound,sharks,3/1397
45%,southbound,merpeople,3/1397
19%,northbound,pirates,3/1397
20%,southbound,pirates,3/1397
31%,northbound,merpeople,3/1397
74%,southbound,nessie,3/1397
79%,northbound,water elemental,3/1397
18%,northbound,pirates,3/1397
21%,southbound,sharks,3/1397
16%,southbound,harpy,3/1397
51%,northbound,merpeople,3/1397
13%,southbound,crabmonsters,3/1397
83%,southbound,nessie,3/1397
100%+,northbound,unknown,3/1397
9%,northbound,harpy,3/1397
28%,northbound,pirates,3/1397
100%+,northbound,unknown,3/1397
48%,northbound,kraken,3/1397
100%+,northbound,unknown,3/1397
18%,southbound,harpy,3/1397
37%,northbound,sharks,3/1397
12%,southbound,pirates,3/1397
12%,southbound,harpy,3/1397
11%,southbound,pirates,3/1397
45%,northbound,kraken,3/1397
41%,southbound,pirates,3/1397
38%,southbound,pirates,3/1397
79%,northbound,water elemental,3/1397
84%,northbound,water elemental,3/1397
19%,northbound,sharks,3/1397
82%,southbound,nessie,3/1397
44%,southbound,crabmonsters,3/1397
24%,northbound,pirates,3/1397
100%+,southbound,unknown,3/1397
15%,northbound,pirates,3/1397
23%,northbound,pirates,3/1397
87%,northbound,nessie,3/1397
71%,northbound,kraken,3/1397
78%,southbound,water elemental,3/1397
37%,northbound,merpeople,3/1397
20%,northbound,sharks,3/1397
96%,southbound,nessie,3/1397
100%+,southbound,unknown,3/1397
68%,northbound,merpeople,3/1397
100%+,northbound,unknown,3/1397
75%,southbound,water elemental,3/1397
28%,northbound,pirates,3/1397
40%,southbound,merpeople,3/1397
21%,northbound,sharks,3/1397
11%,northbound,harpy,3/1397
24%,southbound,sharks,3/1397
48%,southbound,kraken,3/1397
49%,southbound,kraken,3/1397
77%,southbound,water elemental,3/1397
100%+,southbound,unknown,3/1397
100%+,northbound,unknown,3/1397
24%,southbound,sharks,3/1397
50%,southbound,pirates,3/1397
19%,southbound,sharks,3/1397
20%,southbound,sharks,3/1397
100%+,northbound,unknown,3/1397
25%,southbound,sharks,3/1397
53%,southbound,sharks,3/1397
36%,southbound,pirates,3/1397
42%,northbound,merpeople,3/1397
13%,southbound,pirates,3/1397
24%,southbound,sharks,3/1397
14%,northbound,pirates,3/1397
41%,northbound,pirates,3/1397
100%+,southbound,unknown,3/1397
52%,southbound,kraken,3/1397
100%+,southbound,unknown,3/1397
89%,southbound,nessie,3/1397
14%,southbound,pirates,3/1397
33%,northbound,sharks,3/1397
80%,southbound,water elemental,3/1397
38%,southbound,pirates,3/1397
17%,southbound,sharks,3/1397
49%,southbound,merpeople,3/1397
20%,southbound,pirates,3/1397
23%,northbound,sharks,3/1397
54%,northbound,merpeople,3/1397
9%,northbound,sharks,3/1397
14%,southbound,harpy,3/1397
23%,southbound,sharks,3/1397
81%,northbound,water elemental,3/1397
35%,northbound,sharks,3/1397
94%,southbound,demon whale,3/1397
20%,northbound,merpeople,3/1397
100%+,southbound,unknown,3/1397
82%,southbound,water elemental,3/1397
75%,southbound,water elemental,3/1397
48%,northbound,merpeople,3/1397
52%,northbound,pirates,3/1397
100%+,southbound,unknown,3/1397
18%,northbound,pirates,3/1397
78%,northbound,crabmonsters,3/1397
64%,northbound,merpeople,3/1397
100%+,southbound,unknown,3/1397
99%,northbound,crabmonsters,3/1397
13%,northbound,harpy,3/1397
20%,northbound,sharks,3/1397
46%,northbound,merpeople,4/1397
100%+,southbound,unknown,4/1397
15%,northbound,harpy,4/1397
79%,southbound,water elemental,4/1397
56%,northbound,pirates,4/1397
59%,northbound,kraken,4/1397
14%,southbound,harpy,4/1397
11%,southbound,pirates,4/1397
56%,northbound,kraken,4/1397
42%,southbound,merpeople,4/1397
31%,southbound,merpeople,4/1397
12%,southbound,sharks,4/1397
16%,northbound,pirates,4/1397
81%,northbound,water elemental,4/1397
18%,southbound,harpy,4/1397
100%+,southbound,unknown,4/1397
16%,southbound,pirates,4/1397
17%,northbound,pirates,4/1397
13%,southbound,pirates,4/1397
100%+,northbound,unknown,4/1397
27%,northbound,sharks,4/1397
16%,northbound,crabmonsters,4/1397
17%,northbound,pirates,4/1397
17%,northbound,harpy,4/1397
20%,northbound,harpy,4/1397
11%,southbound,pirates,4/1397
59%,southbound,crabmonsters,4/1397
80%,southbound,water elemental,4/1397
34%,northbound,pirates,4/1397
42%,southbound,pirates,4/1397
16%,northbound,harpy,4/1397
51%,northbound,merpeople,4/1397
46%,northbound,pirates,4/1397
100%+,southbound,unknown,4/1397
24%,northbound,pirates,4/1397
68%,northbound,merpeople,4/1397
35%,southbound,sharks,4/1397
48%,southbound,kraken,4/1397
100%+,northbound,unknown,4/1397
20%,southbound,sharks,4/1397
83%,southbound,water elemental,4/1397
10%,northbound,pirates,4/1397
16%,northbound,harpy,4/1397
19%,southbound,pirates,4/1397
80%,southbound,water elemental,4/1397
81%,northbound,water elemental,4/1397
100%+,southbound,unknown,4/1397
33%,southbound,pirates,4/1397
45%,northbound,merpeople,4/1397
100%+,northbound,unknown,4/1397
5%,southbound,pirates,4/1397
100%+,northbound,unknown,4/1397
31%,northbound,pirates,4/1397
33%,northbound,sharks,4/1397
45%,southbound,kraken,4/1397
15%,northbound,pirates,4/1397
40%,northbound,kraken,4/1397
24%,southbound,merpeople,4/1397
100%+,southbound,unknown,4/1397
23%,northbound,pirates,4/1397
84%,northbound,demon whale,4/1397
15%,southbound,sharks,4/1397
55%,southbound,merpeople,4/1397
17%,southbound,sharks,4/1397
16%,southbound,pirates,4/1397
75%,southbound,water elemental,4/1397
33%,southbound,pirates,4/1397
46%,northbound,crabmonsters,4/1397
42%,southbound,kraken,4/1397
76%,southbound,water elemental,4/1397
49%,northbound,merpeople,4/1397
14%,southbound,pirates,4/1397
84%,northbound,crabmonsters,4/1397
31%,northbound,pirates,4/1397
16%,southbound,pirates,4/1397
100%+,northbound,unknown,4/1397
71%,southbound,nessie,4/1397
55%,southbound,kraken,4/1397
27%,northbound,pirates,4/1397
10%,southbound,harpy,4/1397
53%,northbound,crabmonsters,4/1397
100%+,southbound,unknown,4/1397
100%+,northbound,unknown,4/1397
16%,southbound,sharks,4/1397
17%,southbound,pirates,4/1397
21%,northbound,sharks,4/1397
11%,southbound,harpy,4/1397
24%,southbound,pirates,4/1397
82%,southbound,water elemental,4/1397
100%+,northbound,unknown,4/1397
17%,southbound,sharks,4/1397
59%,southbound,kraken,4/1397
20%,northbound,harpy,4/1397
33%,northbound,pirates,4/1397
19%,northbound,harpy,4/1397
63%,northbound,kraken,4/1397
61%,northbound,kraken,4/1397
98%,northbound,merpeople,4/1397
6%,northbound,sharks,4/1397
21%,southbound,sharks,4/1397
81%,southbound,water elemental,4/1397
97%,southbound,demon whale,4/1397
72%,southbound,merpeople,4/1397
98%,northbound,demon whale,4/1397
100%+,northbound,unknown,4/1397
19%,northbound,pirates,4/1397
93%,northbound,nessie,4/1397
88%,southbound,nessie,4/1397
100%+,northbound,unknown,4/1397
15%,southbound,pirates,4/1397
45%,southbound,pirates,4/1397
21%,northbound,sharks,4/1397
19%,northbound,pirates,4/1397
23%,northbound,pirates,4/1397
84%,northbound,nessie,4/1397
35%,northbound,pirates,4/1397
21%,northbound,pirates,4/1397
38%,northbound,kraken,4/1397
18%,northbound,sharks,4/1397
100%+,southbound,unknown,4/1397
30%,northbound,sharks,4/1397
100%+,northbound,unknown,4/1397
36%,southbound,sharks,4/1397
17%,southbound,pirates,4/1397
100%+,northbound,unknown,4/1397
16%,northbound,pirates,4/1397
61%,southbound,kraken,4/1397
39%,southbound,merpeople,4/1397
27%,southbound,sharks,4/1397
51%,northbound,merpeople,4/1397
75%,northbound,water elemental,4/1397
13%,southbound,harpy,4/1397
74%,northbound,water elemental,4/1397
11%,southbound,harpy,4/1397
82%,northbound,water elemental,4/1397
25%,northbound,sharks,4/1397
100%+,northbound,unknown,4/1397
48%,southbound,kraken,4/1397
50%,northbound,kraken,4/1397
43%,southbound,pirates,4/1397
23%,northbound,merpeople,4/1397
31%,southbound,sharks,4/1397
32%,southbound,sharks,4/1397
21%,northbound,sharks,4/1397
60%,northbound,kraken,4/1397
51%,northbound,pirates,4/1397
33%,southbound,pirates,4/1397
100%+,northbound,unknown,4/1397
30%,northbound,pirates,4/1397
15%,southbound,pirates,4/1397
24%,southbound,merpeople,4/1397
100%+,northbound,unknown,4/1397
33%,northbound,sharks,4/1397
42%,southbound,pirates,4/1397
20%,northbound,pirates,4/1397
56%,northbound,kraken,4/1397
12%,southbound,pirates,4/1397
15%,southbound,sharks,4/1397
78%,southbound,water elemental,4/1397
45%,northbound,merpeople,4/1397
18%,southbound,pirates,4/1397
37%,northbound,sharks,4/1397
23%,southbound,pirates,4/1397
82%,southbound,water elemental,4/1397
11%,northbound,harpy,4/1397
35%,southbound,pirates,4/1397
58%,southbound,kraken,4/1397
76%,southbound,water elemental,4/1397
39%,northbound,sharks,4/1397
51%,northbound,kraken,4/1397
47%,northbound,kraken,4/1397
22%,northbound,sharks,4/1397
79%,northbound,water elemental,4/1397
9%,northbound,crabmonsters,4/1397
100%+,southbound,unknown,4/1397
32%,southbound,sharks,5/1397
96%,southbound,nessie,5/1397
100%+,southbound,unknown,5/1397
100%+,northbound,unknown,5/1397
21%,southbound,pirates,5/1397
28%,southbound,sharks,5/1397
31%,southbound,pirates,5/1397
100%+,northbound,unknown,5/1397
23%,southbound,pirates,5/1397
13%,southbound,harpy,5/1397
60%,southbound,merpeople,5/1397
58%,northbound,kraken,5/1397
16%,northbound,pirates,5/1397
75%,northbound,merpeople,5/1397
19%,southbound,pirates,5/1397
64%,northbound,merpeople,5/1397
12%,southbound,pirates,5/1397
29%,northbound,sharks,5/1397
12%,southbound,merpeople,5/1397
19%,southbound,pirates,5/1397
23%,southbound,sharks,5/1397
35%,northbound,pirates,5/1397
1%,southbound,crabmonsters,5/1397
21%,southbound,pirates,5/1397
6%,southbound,sharks,5/1397
11%,northbound,harpy,5/1397
43%,northbound,pirates,5/1397
47%,northbound,pirates,5/1397
42%,northbound,merpeople,5/1397
100%+,southbound,unknown,5/1397
21%,northbound,pirates,5/1397
81%,northbound,water elemental,5/1397
100%+,northbound,unknown,5/1397
34%,southbound,pirates,5/1397
100%+,southbound,unknown,5/1397
31%,northbound,crabmonsters,5/1397
26%,northbound,merpeople,5/1397
41%,northbound,pirates,5/1397
21%,southbound,sharks,5/1397
51%,southbound,pirates,5/1397
54%,northbound,kraken,5/1397
38%,northbound,pirates,5/1397
33%,northbound,pirates,5/1397
81%,southbound,water elemental,5/1397
9%,southbound,pirates,5/1397
47%,northbound,merpeople,5/1397
16%,southbound,crabmonsters,5/1397
32%,southbound,pirates,5/1397
38%,southbound,kraken,5/1397
85%,southbound,water elemental,5/1397
44%,southbound,kraken,5/1397
84%,northbound,water elemental,5/1397
63%,northbound,merpeople,5/1397
100%+,southbound,unknown,5/1397
71%,northbound,nessie,5/1397
100%+,southbound,unknown,5/1397
84%,northbound,water elemental,5/1397
15%,northbound,sharks,5/1397
90%,southbound,nessie,5/1397
14%,northbound,sharks,5/1397
53%,southbound,merpeople,5/1397
100%+,northbound,unknown,5/1397
11%,southbound,pirates,5/1397
24%,southbound,pirates,5/1397
57%,northbound,kraken,5/1397
32%,southbound,sharks,5/1397
29%,southbound,sharks,5/1397
82%,southbound,water elemental,5/1397
82%,southbound,water elemental,5/1397
81%,northbound,water elemental,5/1397
54%,northbound,pirates,5/1397
13%,southbound,sharks,5/1397
21%,southbound,sharks,5/1397
77%,northbound,water elemental,5/1397
50%,northbound,merpeople,5/1397
14%,southbound,pirates,5/1397
48%,southbound,merpeople,5/1397
97%,southbound,merpeople,5/1397
10%,northbound,harpy,5/1397
41%,northbound,crabmonsters,5/1397
21%,northbound,pirates,5/1397
15%,northbound,sharks,5/1397
100%+,southbound,unknown,5/1397
28%,southbound,crabmonsters,5/1397
28%,northbound,pirates,5/1397
24%,northbound,pirates,5/1397
52%,northbound,merpeople,5/1397
19%,southbound,pirates,5/1397
46%,southbound,merpeople,5/1397
87%,southbound,nessie,5/1397
15%,southbound,sharks,5/1397
65%,northbound,crabmonsters,5/1397
22%,northbound,pirates,5/1397
68%,northbound,kraken,5/1397
85%,northbound,water elemental,5/1397
25%,southbound,pirates,5/1397
15%,southbound,pirates,5/1397
39%,northbound,sharks,5/1397
100%+,northbound,unknown,5/1397
16%,southbound,sharks,5/1397
89%,northbound,crabmonsters,5/1397
81%,southbound,merpeople,5/1397
34%,southbound,pirates,5/1397
26%,southbound,sharks,5/1397
16%,southbound,sharks,5/1397
23%,northbound,pirates,5/1397
57%,northbound,kraken,5/1397
100%+,northbound,unknown,5/1397
31%,northbound,merpeople,5/1397
76%,southbound,nessie,5/1397
33%,northbound,pirates,5/1397
29%,northbound,sharks,5/1397
17%,southbound,pirates,5/1397
33%,southbound,kraken,5/1397
18%,southbound,crabmonsters,5/1397
26%,northbound,merpeople,5/1397
85%,southbound,demon whale,5/1397
31%,southbound,sharks,5/1397
17%,northbound,harpy,5/1397
7%,southbound,sharks,5/1397
13%,northbound,pirates,5/1397
76%,southbound,merpeople,5/1397
