Item name,Glow color,Thaumometer reading,Mana gained from sacrifice
Ring of Abstraction +5,yellow,34,18
Saw of Industry,green,42,16
Pendant of Abstraction,blue,27,6
Battleaxe of Power,blue,2,1
Ring of Plenty +4,yellow,27,21
Sword of Rage +2,green,10,26
Axe of Prosperity +2,green,9,30
Pendant of Wrath +1,blue,31,8
Longsword of Power,red,14,9
Ring of Flame +5,yellow,30,19
Warhammer of Flame,red,4,8
Sword of Power,blue,8,7
Sword of Rage +4,blue,39,40
Ring of Hope,yellow,25,18
Pendant of Melancholy,yellow,28,19
Warhammer of Flame,blue,7,6
Pendant of Joy,yellow,30,21
Ring of Wrath +5,red,40,12
Warhammer of Rage +2,red,25,24
Longsword of Wrath +3,blue,33,32
Amulet of Rage +2,green,28,20
Pendant of Power +5,red,38,24
Amulet of Wounding,blue,71,48
Ring of Protection +3,yellow,25,18
